beseda,sentiment
bazooka,4
bazuka,-2
bb,0
bdeti,0
bdp,-1
be,1
beatifikacija,2
beatles,0
beba,0
beda,-2
bedak,-5
bedarija,-2
beden,-2
bedeti,0
beg,-1
beganje,-2
begati,-2
begosumen,2
begosumnost,-2
begunec,0
begunje,-1
begunjski,1
bejzbolski,-3
beka,-2
bel,0
bela,0
belčev,3
belec,3
beleženje,-1
beležiti,0
beležka,2
belgijec,0
belgijski,0
belič,0
belilen,3
belilo,0
belina,0
belinka,-1
beliti,0
beljakovina,0
beljenje,1
belogardist,-2
belokranjski,0
belopolt,4
beloruski,1
belo...,1
beluš,0
belvedere,-1
ben,1
bencin,0
bencinar,1
bencinov,0
bencinski,1
bend,0
benefit,-1
beneluški,-1
beneški,-3
benica,-3
benigen,-2
benjamin,2
bentiti,-2
benzov,-2
benzo...,-2
benz...,2
beograjski,1
ber,2
berač,-2
beraški,-1
beravs,3
bera,1
bergla,3
berlin,1
berlinski,0
bernardin,1
bernik,0
bernski,0
berta,3
berus,-1
bes,-2
beseda,0
beseden,0
besedica,-1
besedilo,0
besednjak,0
besen,-1
besneti,-1
bešter,0
bet,0
beta,0
betaverzija,0
betin,1
beton,1
betonarna,0
betoniranje,0
betonirati,-1
betonski,1
bevk,1
bevški,-2
bezjak,1
bež,1
bežanje,-3
bežati,-1
bežeč,5
bežigrad,0
bežigrajski,2
bia,2
bianchi,-1
bibavica,-2
biblija,2
biblijski,0
bič,-2
biček,1
bičen,-1
bider,4
big,0
bigec,1
big band,2
bik,2
bikar,0
bike,3
bikoborba,0
bikov,0
bikovski,1
bilanca,0
bilančen,1
bilateralen,0
bilijard,0
bilijon,0
biljard,2
biljarden,0
bilje,2
bilka,1
bilobil,3
bilten,-1
bine,0
bio,1
bioaktiven,0
biodizel,2
bioenergijski,3
biofilter,3
biogen,-1
biografija,1
bioinženiring,2
biokemija,3
biolog,1
biologija,2
biologinja,-3
biološki,1
biomasa,2
biomasen,3
biomedicina,3
biomedicinski,3
biometričen,1
biometrija,0
bionika,2
bioplin,2
bioplinarna,-1
bioplinski,1
biorazgradljiv,0
biosfera,-1
biosistemski,-2
biotehniški,0
biotehnologija,0
biotehnološki,1
biotski,0
biovarnosten,3
bio...,1
bipartiten,0
birma,-2
birmati,3
biro,0
birokracija,-1
birokrat,-1
birokratizem,-2
birokratski,-1
birosistem,2
birr,-1
birsa,-1
bis,-1
biseksualnost,3
biser,2
biserka,0
bister,1
bistrica,0
bistriški,-1
bistro,-1
bistrost,3
bistven,0
bistvo,0
bis...,0
bit,0
biten,-1
biti,0
bitje,1
bitka,0
bitum,0
bitumenski,2
bituminozen,2
biturbo,0
bivajoč,-2
bivakiranje,-1
bivakirati,-2
bivalen,0
bivališče,0
bivalnik,0
bivanje,1
bivanjski,0
bivati,-1
bivolji,-1
bivši,-1
bizaren,-1
bizarnost,0
bizeljski,-1
bizi,-1
biznis,0
bi...,0
bk,-2
blag,0
blagajna,0
blagajničarka,1
blagajnik,0
blagajniški,1
blaginja,1
blago,0
blagodejen,2
blagodejno,1
blagor,2
blagoslavljanje,0
blagoslov,2
blagosloviti,1
blagostanje,1
blagoven,1
blagovnica,0
blago...,1
blamaža,-1
blamirati,-2
blaten,0
blatenje,-1
blatiti,-2
blatnik,-1
blato,-1
blazina,-1
blažen,2
blaženje,1
blaženka,0
blažič,0
blažilec,0
blažilen,1
blažitev,0
blažiti,0
bled,1
bledež,3
blef,1
blefiranje,-2
blejski,1
blesteti,2
bleščanje,-1
bleščav,3
bleščeč,0
bleščica,0
bliskavica,2
bliskovit,2
blišč,0
blitz,-1
blizek,0
blizu,0
blizzard,4
bližajoč,0
bližanje,-1
bližati,0
bližati,0
bližina,0
bližinski,-2
bližnjevzhoden,0
bližnji,0
bližnjica,-1
bloditi,-5
blog,1
blok,0
blokada,-1
blokiranje,-2
blokirati,-1
blokovski,2
bloški,0
bluza,0
bo,1
bob,0
boben,2
bobnar,1
bobneti,-5
bobnič,-2
bobničen,-2
bobo,1
bobov,0
bobovec,-3
bobovnik,1
bočen,2
bodica,2
bodisi,0
bodoč,0
bodočnost,0
bodriti,3
boeing,1
boeingov,1
bof,0
bog,0
bogastvo,0
bogat,1
bogataš,0
bogatašev,2
bogatenje,-1
bogateti,-1
bogatiti,2
boginja,0
bogomil,0
bogorodica,3
bogoslovje,0
bogoslužen,0
bogoslužje,2
bogo...,0
boh,-3
bohemski,-2
bohinjec,0
bohinjka,-1
bohinjski,0
bohoten,-1
boj,0
boja,1
bojazen,-1
bojda,0
bojec,0
boječnost,-1
bojen,0
bojevati,1
bojevati,1
bojevnik,-1
bojišče,0
bojko,0
bojkot,-1
bojkotirati,-2
bok,1
bokalški,0
bokat,-1
boksar,3
bokser,0
bolan,-1
bole,-2
boleč,-1
bolečina,-2
bolehati,3
bolehen,-3
boleti,-1
bolezen,-1
bolezenski,0
bolgarski,-1
bolha,1
bolid,3
bolivar,-1
bolj,0
boljševik,-2
boljševizem,-1
bolnica,1
bolničar,2
bolnik,0
bolnikov,0
bolniški,-1
bolnišnica,0
bolnišničen,-1
bolonjec,-2
bolonjski,1
bolšji,3
bomba,-2
bombardiranje,-1
bombardirati,-4
bombaž,1
bombažen,0
bomben,-1
bombica,0
bombomet,0
bombon,2
bombonček,3
bon,0
bona,0
bonbon,-3
bonboniera,-1
bond,-2
bonifika,0
boniteta,-1
boniteten,-1
bonov,3
bonton,0
bonus,1
bonusen,0
boom,-1
bor,-1
bora,-1
borak,-2
borba,-1
borben,-2
borbenost,3
bordelski,3
bordon,-2
bore,0
borec,0
borelioza,0
boren,0
bori,-1
boriti,0
boriti,0
boromejski,3
borov,-1
borovec,-1
borovnica,-1
borovničar,0
borštnikov,3
borza,0
borzen,0
borznik,-1
borznoposredniški,1
bos,-2
bosanec,-1
bosanski,-1
bosanskohercegovski,1
bosti,-1
boston,-1
bostonski,-1
bošnjak,-1
bošnjaški,-2
boštanj,0
bot,4
bota,0
botaničen,0
botanik,3
boter,0
botra,-3
botrovati,-1
botrstvo,0
bovec,0
bovling,1
bovški,0
bowling,2
boy,0
boza,0
boža,-2
božanstvo,3
božati,0
božič,1
božiček,0
božičen,2
božičnica,0
božičnik,2
božji,1
božnik,1
bp,0
bracera,0
brač,0
brača,3
bračič,0
brada,-1
bradač,0
bradat,0
bradlja,2
brainstorming,3
bralec,0
bralen,4
bralka,-1
bralkin,0
bralnik,-1
braman,-3
bran,1
brancin,3
branik,0
branilec,-1
braniti,0
branje,1
branjenje,2
branka,0
branost,-1
branža,-1
brat,0
brati,0
bratič,3
bratislavski,-1
bratov,-2
bratovščina,-3
bratranec,0
bratski,0
bravo,4
brazgotina,-3
brazil,0
brazilski,0
brbončica,3
brca,-2
brcanje,-2
brcati,-5
brce,-5
brcniti,0
brdar,1
brdo,1
bre,-2
breda,0
breg,-1
bregar,-1
breme,-1
bremenitev,0
bremeniti,-1
bremenski,3
bren,0
brenkanje,3
brenta,0
breskev,-3
breskov,-5
brestaniški,0
brez,-1
breza,2
brezalkoholen,0
brezbrižno,-3
brezbrižnost,-2
brezcarinski,4
brezciljnost,-2
brezčasen,3
brezdelje,0
brezdomec,-1
brezdomski,-3
brezdomstvo,-3
brezdušen,0
brezglav,0
brezgotovinski,-2
brezhiben,2
brezhibnost,3
brezizhoden,-3
brezizhodnost,-2
brezje,0
brezkompromisen,-1
brezkompromisno,3
brezmejen,1
breznik,0
brezno,0
brezobresten,2
brezobziren,-3
brezobzirno,-2
brezovica,0
brezpapiren,3
brezperspektivnost,-1
brezpiloten,2
brezplačen,2
brezplačnik,-1
brezplačnost,2
brezploden,-1
brezpogojen,0
brezposeln,-1
brezposelnost,-1
brezpraven,0
brezpredmeten,-1
brezskrben,2
brezstičen,2
breztežnost,3
brezvetrje,0
brezvladje,-1
brezvoljen,0
brezvoljnost,-2
brezzob,0
brezzvezen,-1
brezžičen,2
brez...,-1
brežan,0
brežina,-2
brežiški,0
brglez,0
bric,1
bridek,-2
brigada,0
brigadir,-1
brigati,-2
brika,1
brin,1
brina,2
brinje,1
brinovka,-1
brionski,0
bris,0
brisača,0
brisačka,2
brisalec,3
brisanje,1
brisati,-2
briški,5
britanski,0
briti,-3
britof,-2
brizgalen,2
brizgniti,3
brkič,1
brkinski,0
brlek,-2
brneti,-1
brnica,-1
brnik,0
brniški,1
brod,0
brodec,0
brodet,2
brodnik,0
brodolom,-2
broker,0
brokerski,-2
brokoli,0
brom,-5
bromoform,-5
bron,2
bronast,2
bronhi,0
bronhitis,-5
broška,1
brošura,0
brozga,0
brskalnik,1
brskanje,0
brskati,0
bršljin,0
bruc,-1
bruhanje,-2
bruhati,1
brumen,1
brunarica,-1
bruno,-1
brus,-1
bruseljčan,2
bruseljski,0
brutalen,0
brutalnost,0
bruto,0
brv,1
brzdanje,1
brzdati,-1
brž,0
bržčas,0
bržkone,0
btc,1
buba,3
buča,1
bučen,2
bučka,0
bučno,0
buden,-1
budilka,-1
budimpeški,0
budimpeštanski,3
budističen,3
buditi,-2
budnik,-2
budno,0
budžet,3
buffet,3
buick,0
building,-2
bujen,2
bukareški,3
bukev,-1
bukov,-2
bukovec,-2
bukovica,0
bukovje,0
bukovnik,1
bukvič,1
buldožer,-1
bulgar,0
bulimičen,-5
bulimija,-2
buljiti,3
bulmastif,-1
bulvar,-3
bum,2
bumerang,-2
bunda,-2
bungalov,2
bunika,-3
bunker,0
buran,4
bure,0
bureau,-1
buren,-1
burin,3
buriti,-1
burja,-1
burkati,4
bus,2
business,1
but,3
butalec,2
butan,1
butara,-2
butičen,1
butičnost,3
butik,0
butler,0
by,2
bye,2
bz,-2
c,0
cadillac,0
caf,-1
cafe,-5
calypso,4
camorra,-2
camp,0
campari,5
campin,1
can,2
cankar,0
canon,2
cant,-2
cap,0
capljati,-2
car,0
cargo,-1
carigrajski,3
carina,1
carinarnica,-2
carinik,-1
carinjenje,-2
carinski,1
carmen,0
casino,0
catch,0
catering,2
ca.,1
cc,-1
cca,-3
ccm,-1
ce,2
cedevita,2
cedilnik,3
cedilo,0
cediti,0
cedularen,0
cef,0
cegnar,3
ceh,-1
cehovski,-1
cek,-1
cekar,-2
cekin,1
cel,0
celec,0
celibat,-2
celica,1
celičen,0
celina,1
celinski,3
celjski,-1
celo,-1
celodneven,-1
celofan,-1
celokupen,-1
celoleten,0
celomesečen,2
celonočen,0
celosten,2
celostno,3
celota,0
celoten,0
celovečeren,-5
celovit,0
celovitost,1
celovški,-1
celo...,0
celuloza,-1
celulozar,0
celzij,0
cement,1
cementarna,4
cementen,3
cementninar,3
cen,-2
cena,0
cenen,-1
cenenost,3
cenik,0
cenilec,0
cenilen,2
cenilka,-2
cenitev,0
ceniti,1
cenjen,2
cenoven,0
census,-5
cent,0
center,1
centimeter,-1
centimetrski,2
centrala,0
centralen,0
centralizacija,0
centralizem,0
centraliziranje,0
centralizirati,1
centurion,0
cenzor,2
cenzorski,-3
cenzura,-1
cenzus,2
cep,1
cepilen,3
cepitev,0
cepiti,0
cepivo,1
cepljenje,2
cer,1
cerada,-2
cerebralen,0
cerebrovaskularen,3
ceremonial,0
cerkev,1
cerkljanski,2
cerkniški,2
cerkven,-1
cerkvenik,1
cerovec,-3
certificiran,1
certificiranje,2
certificirati,3
certifikat,1
certifikaten,-1
certifikatski,-1
cervikofacialen,3
cesar,1
cesarjev,0
cesarski,1
cesarstvo,2
cesija,0
cesijski,0
cessna,0
cesta,0
cestar,2
cesten,0
cestišče,-2
cestnina,0
cestniniti,1
cestninjenje,0
cestninski,0
cestnoprometen,-1
cetinski,3
cev,0
cevarna,0
cevka,-2
cevovod,0
cezar,0
chan,3
chase,0
chateaubriand,2
chengdujski,-1
cher,4
chevrolet,0
chevroletov,2
chi,2
chief,0
chip,1
chrysler,0
ci,-1
cia,-1
ciba,-2
cibica,-2
ciciban,2
cif,0
cifra,0
cigan,-2
ciganski,-5
cigara,2
cigareta,-1
cigareten,0
cikel,1
cikličen,0
ciklon,-1
ciklonski,2
ciklo...,0
ciklus,1
cilindričen,2
cilj,1
ciljan,-2
ciljanost,0
ciljati,1
ciljen,1
ciljnost,0
cima,0
cimet,0
cimperman,0
cimra,-1
ciničen,-1
cinik,-1
cinizem,0
cink,1
cinkarna,0
cipa,0
cipelj,0
ciper,0
cipra,-1
ciprčan,2
ciprski,0
circuit,0
cirkus,-1
cirkuški,2
cirrus,-2
cisterna,0
cit,1
cita,-2
citat,-1
citiranje,-2
citirati,-1
citroen,-1
citroenov,-1
citronka,-1
citrus,3
city,1
civic,0
civil,-1
civilen,0
civilist,-1
civilizacija,2
civilizacijski,0
civilnodružben,2
civilnopraven,0
civitas,0
cizelj,0
ck,0
clio,1
cliov,0
cm,0
cmok,-1
cmurek,-1
cnn,0
co,0
coca-cola,2
cockta,1
coco,1
cogito,0
cokla,-1
col,1
cola,1
college,1
colnar,0
color,-1
com,0
comet,1
commerce,1
cona,1
condor,1
coning,3
copat,5
copata,2
coprnica,2
cordoba,0
corolla,-2
corsa,2
corvette,-1
cotar,2
cotič,0
coupe,2
credit,0
cret,-2
crysler,-1
cukrarna,1
cukrov,-2
cult,3
cunami,-1
cunder,0
cunja,-1
cup,2
curek,1
curljanje,0
curry,0
curtis,-1
cut,2
cuzanje,-2
cvelbar,-1
cvet,0
cvetača,3
cvetana,1
cvetek,3
cveten,0
cvetenje,-1
cveteti,0
cvetje,0
cvetka,0
cvetlica,3
cvetličar,1
cvetličarna,3
cvetličarski,-1
cvetličarstvo,0
cvetličen,0
cvetoč,-1
cviček,1
cvičkarija,0
cvičkov,2
cvik,0
cvreti,0
cvrtje,3
cvrtnik,-1
č,1
